AAA;BBB;CCC;DDD;EEE;FFF;GGG;HHH;III;JJJ;KKK;LLL;MMM;NNN;OOO;PPP;QQQ;RRR;SSS;TTT;VVV;WWW;XXX;YYY;ZZZ
-0.00413348;-0.000174578;0.006559077;0.007625733;-0.000576526;0.003542044;0;0.001382559;0.009531477;-0.007144514;-0.000871902;0.002149076;0.006731854;-0.005375577;0.012676966;-0.012721859;0.004391618;0.009641076;-0.003707808;0.018674603;-0.002369908;0.000439783;-0.002670111;0.006721728;0.00080713
0.01948486;-0.011919136;0.011413404;-0.009623451;-0.021208432;0.006323263;0.01130179;-0.024285343;-0.044446502;-0.013678574;0.027352423;-0.019715588;0.052559993;-0.020098444;0.01478117;0.0007436;0.022584691;-0.005224949;0.008901545;-0.018304979;0.014222662;-0.007753873;-0.000298399;-0.000836408;0.032981264
0.006654648;-0.006273272;0.024640758;-0.007193991;-0.00591658;0.00073998;-0.003125701;-0.002617092;-0.002851954;0.020036818;0.007007699;-0.002886576;-0.008768161;-0.006385093;-0.008208874;-0.007916138;0.004013368;-0.004798279;-0.020295374;0;0.007604694;-0.000179732;0.007403371;0.001752905;0.005021317
-0.005106954;0.000159765;0.046975835;0.01196506;-0.002976586;0.007374096;-0.011198118;0.025609737;0.002220764;0.000332252;0.017675357;-0.001128943;0.01089431;0.014718606;-0.020184785;-0.003841079;0.000159923;-0.007807046;-0.003204078;0.015428973;-0.006251439;0.002799333;-0.008561972;0.016411819;0.007363159
-0.002147205;-0.018047726;-0.003976298;0.004496368;0.001881676;-0.013342745;0.008154952;-0.011320895;-0.004372767;-0.002051367;0.003493156;-0.011229301;0.000913517;0.007506735;-0.002274592;0.0016744;-0.005177486;0.013960267;-8.40E-05;0.005468834;-0.002714502;-0.001056376;0.003693814;0.011662907;0.001827334
0.005376226;-0.023788306;0.010021475;-0.010697447;0.011851263;0.020266216;-0.032446574;-0.010077643;0.006086444;-0.004324432;-0.007660275;0.004407044;-0.004697602;-0.006711092;0.003358498;-0.002711223;0.003439708;0.056808772;-0.002707866;0.000747468;0.012944381;-0.01329112;0.010173365;-0.016812677;0.005264649
0.005591757;0.010891334;-0.00333638;-0.001512114;0.005454861;0.007356236;-0.002197994;0.002687064;0.005360524;0.004152281;-0.019849193;-0.000390129;-0.033864939;-0.00104448;0.000915669;0.011607523;-0.01179319;-0.005003651;-0.008197565;-0.006889762;0.012860776;-0.001687347;0.00864005;-0.010947081;0.007860933
-0.017178063;0.01155973;-0.004965484;0.00264331;-0.017038917;0.009817849;-0.001953025;-0.010868636;-0.022595098;-0.001626769;-0.006320517;0.01195542;-0.019061245;0.009739812;-0.00239763;0.005548951;0.049984036;0.015106944;0.000707675;0.013021677;-0.00111074;0.000581559;-0.001954213;-0.000140065;-0.0031996
-0.004344781;-0.005071408;-0.004327793;0.003050364;-0.000225962;0.022288988;-0.007353253;0.00048814;-0.001704607;-0.005147103;-0.020280297;-0.004511763;0.019516583;0.005810162;0.011465503;-0.01907966;0.027308082;0.004858857;0.001826467;-0.000925686;0.000728221;-0.002998904;0.005019431;-0.002470296;0.000942909
-0.002496284;-0.007110672;0.019189087;-0.024793285;0.000855228;0.009425483;-0.007395211;0.005282501;-0.012127313;-0.002636345;-0.005961188;0.00398718;-0.013363566;0.00468163;0.000726604;-0.014383962;0.003233486;-0.005621108;-0.011225668;0.003844024;-0.005803284;-0.00259269;0.010752963;0.000551239;0.01122363
