Apple;Google;Microsoft;3M;Abbott;Amazon;IBM;Ebay;Nike;GlaxoSmithKline;J&J;Pfizer;Yahoo;Pepsi
-0.004469568;0.018187945;-0.024743496;-0.000910673;-0.005888635;0.006717303;0.000707392;-0.00118915;0.007459559;0.002252396;-0.004265033;-0.008707305;0.020900064;0.008391673
0.012534552;0.004585829;0.003126631;-0.003389314;0.001713089;0.028838655;0.003630134;-0.00536831;0.004786223;0.003800333;-0.000763579;0;0.003128851;-0.000154794
0.037697234;0.007932827;0.017876035;-0.004580847;0.002469602;-0.006040855;-0.002620461;0.001792651;0.002804817;-0.015638929;-0.007051984;-0.008783673;-0.011310143;0.006325656
0.003469311;-2.10E-05;0.0013619;0.00157288;0.017116974;-0.006321392;-0.00597194;0.005655619;0.010402267;-0.013044377;-0.003390372;-0.007701193;-0.001581028;-0.005552035
-0.004927729;-0.011051725;-0.016812851;-0.001835331;-0.000559818;-0.005380326;-0.007847943;0.008865395;-0.001757082;0.009887033;-0.009772776;-0.009710699;0.015698847;-0.001238038
-0.006307037;-0.012164073;0.005865119;-0.001181593;0.016287825;0.00244923;-0.008425851;-0.01691196;-0.001945607;-0.000175665;0.002335556;0.008550343;0.000311571;-0.001394654
-0.05313248;-0.035376385;-0.042155837;-0.021511956;-0.011633656;-0.051447775;-0.030913605;-0.043418531;-0.036453526;-0.021490908;-0.019631631;-0.027463516;-0.036794508;-0.027192246
0.00806938;0.001514106;0.010706705;-0.005653508;0.014383683;0.007951741;-0.010915004;0.001873213;0.004797553;0.007868388;-0.001905049;-0.00718566;-0.002912152;0.006194984
0.028545096;-0.002718142;-0.002843941;-0.005685652;-0.015498774;-0.007436911;-0.007235116;-0.004063172;0.007818499;-0.004821008;-0.007656745;0.003200083;0;0.004424055
-0.019134392;-0.021536219;-0.011817505;-0.00886352;-0.014420845;-0.030313245;-0.014959006;-0.035057767;-0.013674609;-0.022810511;-0.008038628;-0.0100342;-0.014360593;-0.007913938
0.010598143;0.005161229;-0.007593636;0.002189028;-0.004916882;-0.017126456;0.009961179;-0.015362257;-0.013571379;-0.011788679;-0.001938908;-0.003637102;-0.003622629;-0.002545745
